"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd","prediction"
"theta047","0.47","-16.33394573035923","0.0","0.0","2.5","7.04","0.1077032961426901","6.9999995"
"theta047","0.47","-16.33394573035923","0.0","0.0","7.5","7.05","0.1077032961426901","6.9999995"
"theta047","0.47","-16.33394573035923","0.0","0.0","12.5","6.94","0.1077032961426901","6.9999995"
"theta047","0.47","-16.33394573035923","0.0","0.0","17.5","6.98","0.1077032961426901","6.9999995"
"theta047","0.47","-16.33394573035923","1.000008","0.041667","2.5","9.33","0.1077032961426901","9.274159"
"theta047","0.47","-16.33394573035923","1.000008","0.041667","7.5","10.94","0.1077032961426901","10.862388"
"theta047","0.47","-16.33394573035923","1.000008","0.041667","12.5","11.19","0.1077032961426901","11.148825"
"theta047","0.47","-16.33394573035923","1.000008","0.041667","17.5","11.43","0.1077032961426901","11.310333"
"theta047","0.47","-16.33394573035923","1.999992","0.083333","2.5","8.96","0.1077032961426901","8.852649"
"theta047","0.47","-16.33394573035923","1.999992","0.083333","7.5","10.85","0.1077032961426901","10.86228"
"theta047","0.47","-16.33394573035923","1.999992","0.083333","12.5","11.09","0.1077032961426901","11.152299"
"theta047","0.47","-16.33394573035923","1.999992","0.083333","17.5","11.39","0.1077032961426901","11.315078"
"theta047","0.47","-16.33394573035923","3.0","0.125","2.5","5.67","0.1077032961426901","5.313564"
"theta047","0.47","-16.33394573035923","3.0","0.125","7.5","10.87","0.1077032961426901","10.855471"
"theta047","0.47","-16.33394573035923","3.0","0.125","12.5","11.14","0.1077032961426901","11.149161"
"theta047","0.47","-16.33394573035923","3.0","0.125","17.5","11.30","0.1077032961426901","11.313226"
"theta047","0.47","-16.33394573035923","4.000008","0.166667","2.5","4.85","0.1077032961426901","4.773649"
"theta047","0.47","-16.33394573035923","4.000008","0.166667","7.5","10.93","0.1077032961426901","10.848437"
"theta047","0.47","-16.33394573035923","4.000008","0.166667","12.5","11.20","0.1077032961426901","11.145887"
"theta047","0.47","-16.33394573035923","4.000008","0.166667","17.5","11.40","0.1077032961426901","11.311254"
"theta047","0.47","-16.33394573035923","4.999992","0.208333","2.5","4.56","0.1077032961426901","4.540172"
"theta047","0.47","-16.33394573035923","4.999992","0.208333","7.5","10.81","0.1077032961426901","10.841272"
"theta047","0.47","-16.33394573035923","4.999992","0.208333","12.5","11.16","0.1077032961426901","11.142576"
"theta047","0.47","-16.33394573035923","4.999992","0.208333","17.5","11.32","0.1077032961426901","11.309263"
