"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd","prediction"
"theta020","0.2","-166.9363086307076","0.0","0.0","2.5","7.01","0.1077032961426901","6.9999995"
"theta020","0.2","-166.9363086307076","0.0","0.0","7.5","7.07","0.1077032961426901","6.9999995"
"theta020","0.2","-166.9363086307076","0.0","0.0","12.5","6.99","0.1077032961426901","6.9999995"
"theta020","0.2","-166.9363086307076","0.0","0.0","17.5","6.98","0.1077032961426901","6.9999995"
"theta020","0.2","-166.9363086307076","1.000008","0.041667","2.5","10.42","0.1077032961426901","10.338357"
"theta020","0.2","-166.9363086307076","1.000008","0.041667","7.5","10.83","0.1077032961426901","10.6844845"
"theta020","0.2","-166.9363086307076","1.000008","0.041667","12.5","10.84","0.1077032961426901","10.766338"
"theta020","0.2","-166.9363086307076","1.000008","0.041667","17.5","10.64","0.1077032961426901","10.816296"
"theta020","0.2","-166.9363086307076","1.999992","0.083333","2.5","10.49","0.1077032961426901","10.339577"
"theta020","0.2","-166.9363086307076","1.999992","0.083333","7.5","10.75","0.1077032961426901","10.6958885"
"theta020","0.2","-166.9363086307076","1.999992","0.083333","12.5","10.84","0.1077032961426901","10.779041"
"theta020","0.2","-166.9363086307076","1.999992","0.083333","17.5","10.58","0.1077032961426901","10.829135"
"theta020","0.2","-166.9363086307076","3.0","0.125","2.5","10.35","0.1077032961426901","10.33385"
"theta020","0.2","-166.9363086307076","3.0","0.125","7.5","10.80","0.1077032961426901","10.700632"
"theta020","0.2","-166.9363086307076","3.0","0.125","12.5","10.85","0.1077032961426901","10.785089"
"theta020","0.2","-166.9363086307076","3.0","0.125","17.5","10.67","0.1077032961426901","10.835326"
"theta020","0.2","-166.9363086307076","4.000008","0.166667","2.5","10.39","0.1077032961426901","10.327639"
"theta020","0.2","-166.9363086307076","4.000008","0.166667","7.5","10.83","0.1077032961426901","10.7051935"
"theta020","0.2","-166.9363086307076","4.000008","0.166667","12.5","10.73","0.1077032961426901","10.79096"
"theta020","0.2","-166.9363086307076","4.000008","0.166667","17.5","10.68","0.1077032961426901","10.841346"
